종목명,최종점수,가치점수,우량점수,모멘텀점수(샤프+이익),샤프지수,거래대금(억)
켐트로스,0.5347,0.7289,0.682,0.1948,0.63,11
아이엘,0.5343,0.5749,0.5998,0.4298,1.58,121
현대글로비스,0.5342,0.2616,0.6403,0.7023,1.67,864
HB테크놀러지,0.5336,0.6076,0.5922,0.4026,1.46,121
효성티앤씨,0.5335,0.6431,0.5332,0.4257,1.32,111
RFHIC,0.5332,0.3542,0.6912,0.5559,2.25,379
현대에버다임,0.533,0.673,0.5869,0.3406,0.27,21
가온그룹,0.5325,0.203,0.5881,0.8079,1.68,83
PI첨단소재,0.5322,0.2548,0.6337,0.7098,1.16,34
한중엔시에스,0.5321,0.4578,0.4765,0.6635,1.48,66
LG,0.5318,0.1444,0.7061,0.7466,1.63,1927
인텍플러스,0.5309,0.8188,0.2823,0.4932,2.06,265
지앤비에스 에코,0.5302,0.4319,0.6883,0.4721,1.59,81
태광,0.5299,0.5041,0.6988,0.3883,1.09,83
에이티넘인베스트,0.5299,0.6594,0.6858,0.2459,0.57,35
코오롱티슈진,0.5297,0.4959,0.5424,0.5525,1.85,473
광전자,0.5288,0.2561,0.6873,0.6444,2.28,807
한빛레이저,0.5287,0.9619,0.5182,0.1076,0.69,57
STX엔진,0.5284,0.1894,0.6577,0.7398,1.26,214
동국제약,0.528,0.4809,0.7136,0.391,0.89,100
제이오,0.5268,0.7071,0.6746,0.2003,0.62,29
휴림로봇,0.5256,0.1172,0.5921,0.8692,2.34,692
포스코퓨처엠,0.5247,0.4523,0.5749,0.5484,1.48,677
퍼스텍,0.5246,0.0627,0.6518,0.861,1.73,168
케이엔제이,0.5226,0.2166,0.6825,0.6703,1.38,51
티케이지휴켐스,0.5222,0.5763,0.6983,0.2936,0.87,38
라온로보틱스,0.5221,0.7439,0.4506,0.3733,1.42,207
디케이티,0.5217,0.2493,0.7082,0.609,2.49,85
DB증권,0.5208,0.7112,0.35,0.5027,1.2,14
인바디,0.5204,0.3202,0.7128,0.53,1.48,37
한국공항,0.5203,0.4605,0.7213,0.3808,0.87,23
부광약품,0.5175,0.4877,0.4661,0.6001,0.96,33
대한해운,0.517,0.5613,0.6085,0.3828,0.97,108
지아이에스,0.5167,0.9823,0.4657,0.1035,0.51,55
소룩스,0.5162,0.951,0.5044,0.0947,0.45,413
동양고속,0.5152,0.3787,0.4941,0.6744,2.36,289
SK이터닉스,0.5146,0.297,0.5196,0.7289,1.31,1243
퀄리타스반도체,0.5143,0.6826,0.4239,0.438,0.82,77
코스맥스엔비티,0.5135,0.485,0.4583,0.5988,1.04,19
에프엔에스테크,0.5132,0.0436,0.6576,0.8399,1.58,61
키움증권,0.5125,0.5845,0.3906,0.564,1.42,559
세명전기,0.5117,0.1907,0.7204,0.6253,0.97,39
이마트,0.5114,0.3815,0.5806,0.5736,0.78,213
쏘카,0.5109,0.6894,0.3816,0.4632,0.52,14
디아이,0.51,0.1349,0.6724,0.7241,1.15,125
SK디스커버리,0.5097,0.4768,0.5646,0.4891,0.29,11
원익머트리얼즈,0.5085,0.0967,0.7124,0.718,1.74,31
핑거,0.5083,0.1635,0.6722,0.6907,1.12,29
지투파워,0.5081,0.8243,0.5824,0.1192,0.55,51
강스템바이오텍,0.5078,0.5477,0.3819,0.5954,1.76,19
세아홀딩스,0.5078,0.4537,0.6093,0.4619,1.11,16
네오티스,0.5075,0.0899,0.7024,0.7316,3.25,61
현대홈쇼핑,0.5073,0.3678,0.6864,0.4693,1.6,12
씨에스윈드,0.5067,0.3379,0.6762,0.5075,0.41,224
유니테스트,0.5064,0.5354,0.4323,0.5531,1.02,42
뉴파워프라즈마,0.5056,0.4087,0.6717,0.438,1.55,108
제우스,0.5052,0.7425,0.6124,0.1621,0.45,60
에스피지,0.5049,0.0422,0.6914,0.7827,2.37,420
GS리테일,0.5044,0.4428,0.5699,0.502,1.92,55
신영증권,0.5039,0.5736,0.375,0.5647,1.02,50
신세계I&C,0.5038,0.3896,0.709,0.4142,0.53,48
대주전자재료,0.5034,0.1417,0.7188,0.6512,1.51,508
오로라,0.5031,0.2316,0.6117,0.6676,1.44,19
드림시큐리티,0.5029,0.6798,0.5253,0.3052,0.99,260
POSCO홀딩스,0.5029,0.376,0.6164,0.5177,1.64,1968
SK증권,0.5019,0.361,0.3289,0.8174,1.77,317
