종목명,ROE,최종점수
동양고속,5.38,3.23
에이플러스에셋,9.45,5.67
이마트,1.80,1.08
폴라리스우노,1.87,1.12
홈캐스트,-2.57,-1.54
신세계건설,-134.36,-80.61
케이엔알시스템,-36.99,-22.19
코리안리,8.74,5.25
비츠로테크,8.76,5.25
F&F 홀딩스,10.10,6.06
신세계I&C,6.54,3.93
F&F,21.33,12.80
동국씨엠,-6.68,-4.01
오늘이엔엠,-839.68,-503.81
SB성보,22.33,13.40
지놈앤컴퍼니,-6.71,-4.03
현대무벡스,7.05,4.23
엔켐,-14.67,-8.80
유진테크놀로지,-20.23,-12.14
디앤씨미디어,8.35,5.01
셀루메드,-26.02,-15.61
엘케이켐,7.26,4.35
대호특수강,-4.78,-2.87
오스테오닉,11.10,6.66
신한투자증권,6.58,3.95
엠브레인,-3.79,-2.28
무림P&P,-5.45,-3.27
무림SP,-0.83,-0.50
아이씨티케이,-15.20,-9.12
한국기업평가,20.12,12.07
텔라움,24.98,14.99
무림페이퍼,-3.35,-2.01
메타바이오메드,8.63,5.18
바이오니아,0.75,0.45
한스바이오메드,-94.65,-56.79
티앤엘,18.93,11.36
수젠텍,-30.69,-18.41
오상자이엘,9.51,5.70
레이저옵텍,-48.44,-29.06
STX그린로지스,-125.45,-75.27
엔피씨,2.88,1.73
휴온스글로벌,7.50,4.50
케이엠,3.21,1.92
펄어비스,-1.05,-0.63
이노스페이스,-144.34,-86.60
솔브레인홀딩스,25.44,15.27
포인트모바일,5.50,3.30
스마트솔루션즈,-69.32,-41.59
대림바스,7.70,4.62
뉴파워프라즈마,1.77,1.06
iM금융지주,7.11,4.26
오스코텍,29.11,17.47
HLB제넥스,41.82,25.09
테이팩스,1.30,0.78
현대해상,19.77,11.86
에코프로,-2.35,-1.41
파이오링크,8.87,5.32
위세아이텍,4.71,2.83
에스에스알,-6.75,-4.05
EDGC,-125.38,-75.23
KB금융,9.60,5.76
APS,-3.97,-2.38
에스티팜,9.20,5.52
모토닉,5.59,3.36
위츠,6.21,3.73
풀무원,2.45,1.47
오리엔트정공,4.54,2.72
진양산업,10.35,6.21
서울보증보험,5.17,3.10
화인베스틸,-11.80,-7.08
두산로보틱스,-15.92,-9.55
제이앤티씨,-36.97,-22.18
상신이디피,1.26,0.75
아스테라시스,19.70,11.82
덴티움,2.91,1.75
미트박스,4.61,2.77
미투온,1.53,0.92
아주스틸,-28.49,-17.10
화인써키트,-8.67,-5.20
엑셀세라퓨틱스,-153.08,-91.85
케이비캐피탈,8.79,5.27
동국홀딩스,1.06,0.64
노블엠앤비,-59.07,-35.44
삼성에스디에스,7.63,4.58
남해화학,4.87,2.92
KT지니뮤직,-8.94,-5.36
삼기에너지솔루션즈,-12.08,-7.25
지앤비에스 에코,5.36,3.22
한국가구,7.14,4.28
케이피엠테크,-49.46,-29.68
원익홀딩스,3.88,2.33
제이엠아이,5.85,3.51
메디앙스,-8.83,-5.30
